datetime,load
2024-01-05 10:20:00,5450.05
2024-01-05 10:25:00,5494.92
2024-01-05 10:30:00,5167.6
2024-01-05 10:35:00,5157.34
2024-01-05 10:40:00,5225.89
2024-01-05 10:45:00,5273.75
2024-01-05 10:50:00,5383.81
2024-01-05 10:55:00,5382.35
2024-01-05 11:00:00,5398.12
2024-01-05 11:05:00,5407.53
2024-01-05 11:10:00,5434.56
2024-01-05 11:15:00,5312.12
2024-01-05 11:20:00,5359.68
2024-01-05 11:25:00,5387.64
2024-01-05 11:30:00,5410.08
2024-01-05 11:35:00,5368.26
2024-01-05 11:40:00,5354.19
2024-01-05 11:45:00,5412.28
2024-01-05 11:50:00,5426.43
2024-01-05 11:55:00,5412.58
2024-01-05 12:00:00,5415.45
2024-01-05 12:05:00,5408.22
2024-01-05 12:10:00,5379.18
2024-01-05 12:15:00,5340.38
2024-01-05 12:20:00,5320.0
2024-01-05 12:25:00,5272.7
2024-01-05 12:30:00,5305.4
2024-01-05 12:35:00,5255.52
2024-01-05 12:40:00,5250.75
2024-01-05 12:45:00,5247.87
2024-01-05 12:50:00,5238.74
2024-01-05 12:55:00,5167.67
2024-01-05 13:00:00,5129.91
2024-01-05 13:05:00,4996.19
2024-01-05 13:10:00,4920.6
2024-01-05 13:15:00,4872.3
2024-01-05 13:20:00,4787.81
2024-01-05 13:25:00,4815.92
2024-01-05 13:30:00,4787.41
2024-01-05 13:35:00,4771.42
2024-01-05 13:40:00,4789.89
2024-01-05 13:45:00,4794.29
2024-01-05 13:50:00,4784.42
2024-01-05 13:55:00,4781.19
2024-01-05 14:00:00,4588.12
2024-01-05 14:05:00,4583.68
2024-01-05 14:10:00,4663.71
2024-01-05 14:15:00,4709.17
2024-01-05 14:20:00,4687.58
2024-01-05 14:25:00,4683.97
2024-01-05 14:30:00,4627.18
2024-01-05 14:35:00,4628.77
2024-01-05 14:40:00,4584.46
2024-01-05 14:45:00,4591.58
2024-01-05 14:50:00,4573.4
2024-01-05 14:55:00,4593.52
2024-01-05 15:00:00,4591.34
2024-01-05 15:05:00,4546.38
2024-01-05 15:10:00,4536.46
2024-01-05 15:15:00,4497.38
2024-01-05 15:20:00,4458.82
2024-01-05 15:25:00,4463.89
2024-01-05 15:30:00,4451.37
2024-01-05 15:35:00,4379.21
2024-01-05 15:40:00,4390.13
2024-01-05 15:45:00,4352.71
2024-01-05 15:50:00,4310.85
2024-01-05 15:55:00,4295.07
2024-01-05 16:00:00,4279.43
2024-01-05 16:05:00,4324.34
2024-01-05 16:10:00,4269.4
2024-01-05 16:15:00,4300.69
2024-01-05 16:20:00,4270.22
2024-01-05 16:25:00,4305.17
2024-01-05 16:30:00,4287.51
